No,Komentar,Status
830,ng worth it wasting time ng hadilnya zonk flashsale tong kosong ng barangnya zonk bikin kecewa check out ng eror coba sehabis makan pulang barang hbs pembayaran eror coba sehabis makan pulang berkali barang habis pemberi harapan palsu flash sale zonk palsu bikin kecewa buang cari sensasi doang bikin kecewa customer goodbye deh pindah online,Negativ
831,tokopedia pake jasa aws bos,Negativ
832,zonk mulu,Positiv
833,amazon menginvest tokopedianya alibaba group,Negativ
834,blackmores vitamin ribu,Negativ
835,keranjang belanja msh titik merah terisi barangtp dibuka kosong,Positiv
836,ntar dijadiin iklan ngebully tokopedia pdhal tokopedia kakak lelaki bagus pas kmaren dpt bayar gagal internal server error,Negativ
837,minjgn lupa perbaiki server pelanggan kecewa kabur,Negativ
838,diproses penjual,Negativ
839,gimmick,Negativ
840,error stiap dapet,Negativ
841,tinggal bayar pdahal tebar pesona kgk bsa server error blablabla pas cek flash sale dah ilang bijiii kgk niat ngadain flash sale kya,Positiv
842,parahh,Positiv
843,ngomong bos tokopedia invest server amazon web services server down pengunjung servernya diurusin dapet flash sale nyebar kebohongan kaya gini,Positiv
844,flashsale bohongan niecuma mentok check out,Negativ
845,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Negativ
846,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Positiv
847,min senin gunain voucher ilovemonday cashbacknya masuk skrg min,Negativ
848,gmbarnya kere tulen gift yasin cantik acaramu berkesan kepoin yaa,Negativ
849,hahahahahaha,Negativ
850,subhanallaah sore,Negativ
851,flashsale bikintiap bayar server down trskan aneh,Negativ
852,min tambahin hashtagnyaflashsalephp,Positiv
853,barang masuk keranjang pas bayar maaf stok kosong padahl berpa detik,Negativ
854,fs ngk load pilih barang,Negativ
855,juragan,Negativ
856,habishuft,Negativ
857,awesomee yaa met siang,Negativ
858,mimin servernya benerin min please,Positiv
859,marah,Negativ
860,laporin ylki,Negativ
861,barakallah tokepedia sukses,Positiv
862,deh dm beserta transaksinya penasaran,Positiv
863,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
864,pembohongan,Negativ
865,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
866,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
867,wkwkwk percaya flash salekamvret,Positiv
868,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
869,pagi dapet tas pas cek taunya dibatalin toped,Positiv
870,barusan cek tas dibatalin topednya,Negativ
871,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
872,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
873,awesomee yaa,Negativ
874,gmbarnya kagum,Positiv
875,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
876,met aktivitas pagi yaah,Negativ
877,anjir wkwkwk,Negativ
878,q gakk dpt susah,Positiv
879,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
880,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
881,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
882,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
883,pake kesal kesal,Positiv
884,via transfer ambil tendili moneynya,Positiv
885,ok,Negativ
886,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
887,input resi susaaaaahhhh truussss,Negativ
888,benerinnn server dolo njerr,Positiv
889,tahun tukang tipu mulu,Negativ
890,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
891,sekian comment respon akun heraann maluin,Positiv
892,eror melanda,Negativ
893,tokocash transfer biasakesal,Positiv
894,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
895,erorrrrrrr,Positiv
896,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
897,pindah shoppe ah enak ciuman upsciuman,Negativ
898,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
899,dapettahunbersama,Positiv
900,xiaomi redmi flash sale pagi proses pengiriman,Positiv
901,kitkat harga ribuan bayar yaaah lumayan,Positiv
902,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
903,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
904,kalo niat kasih promo disiapin bener sistemnya,Positiv
905,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
906,ngincer blender gagal mulu langsung home cari produk nyisa dapet deh tas,Negativ
907,lapar lngsng masukin barang krnjang pas check out gagal hahaha mending sale jelassssss,Positiv
908,beli brg trs dibalikin dana tokocash dibatalin penjual cek riwayat transaksi pindahkan saldo tokopedia sampe hitungan menit pindah saldo tunggu hr semoga membantu,Negativ
909,protes smua trick pintar pintar dpt dpt barusan vacum cleaner pas rb dpt flash sale tokped rame pengunjung harga fantastis tebar pesona stock disediakan banya,Negativ
910,kemajuan min berusaha tingkatin pelayanannya min tokped,Negativ
911,uang ku toko bayar langsung taun syaratnya dipindahkan rekening kalo pembatalan,Negativ
912,berhasil dapet,Negativ
913,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Positiv
914,dapet jbl temen dapet angin semilir,Positiv
915,flash sale jd program tokopedia hoaxbayar pake toko bayar langsung cpet,Positiv
916,saldo tokopedia,Negativ
917,kacau,Negativ
918,sandisk normal rb,Positiv
919,ny berita bohong,Negativ
920,diam ambil tendili moneynya biar ngebut bayarnya eh jancuk aplikasi macet-macet sampe crash suwe bat dah,Negativ
921,min flash sale bilangannya gitu mulu cape better benerin servernya kliatan siapnya sendirilah penduduk indonesia juta org kasarnya stgh penduduk indonesia akses tokopedia perhitungan brp data masuk,Negativ
922,mudah han dapet hadiah aamiin,Negativ
923,bener mslhnya berjuang hasil dibilang hoki msalah flashsale jdid jakmall bl shopee belanjaan flash sale pcs jaman tokopedia flashsale sklipun dapet detik kebuka jam pas barangnya habis,Negativ
924,barang ghoibkahkesal,Positiv
925,tinggal pembayaran tinggal ganmasih byk berhasil payment verified engga kalopun berhasil diuji autocancel autorefund ndak thats the flow cb kali amati flownya terapkan komensaya baca komen post sblmnya paham,Negativ
926,kecewa berat,Negativ
927,tetep goib,Negativ
928,kecewaaaaa,Negativ
929,malam keluarin besok pagi,Positiv
930,super parah dibanding pagi jam gimana ni pemberi harapan palsu ajacustomer super kecewaaa,Negativ
931,menit jam lapar menit barangnya belom klik flash salenya berakhirlahhh kocak banget tokopedia,Negativ
932,pinterrr,Positiv
933,kecewa semoga tokopedia berubah nama tokophp,Positiv
934,ni ko bermasalah lihat daftar transaksi isinya kosong beli barang sore cek ko kosong,Positiv
935,min flash sale tokopedia jam malam tanggal agustus berhasil check out memilih pembayaran bca va disitu pemberitahuan kode pembayaran diverifikasi menit kode bayarnya yaterima kasih,Negativ
936,kek yahsudah berhasil prosestinggal bayartp limitnya menitkesal serius nanya,Negativ
937,maaf pengunjung kecewa kunjungan tokopedia dugaan terbaik kami berusaha kualitas pelayanan,Positiv
938,metode pembayaran pakai,Positiv
939,lapak sebelah harga rb flash sale,Positiv
940,dapet tas gagal berkali kali,Positiv
941,boong kali pagi malem susah masuknya pas kebuka barang,Negativ
942,ntaps marketplace orange kyaknya marketplace ijo deh,Negativ
943,guaa jam mantengin hp,Positiv
944,story bro dpt pancake untungan ikutan ratusan ribu orang tebar pesona stok barang terbatas namanya flash,Negativ
945,kirim dm silahkan dicek,Positiv
946,kasih bukti dpet screnshot pembyaran berhasil,Positiv
947,dm silahkan dicek,Negativ
948,flash sale dapet ikutan,Negativ
949,j pro mudah an dicancel,Positiv
950,adain kaya gini orang emosi doangnurunin rating harga tokopedia doang,Positiv
951,percaya,Negativ
952,bokiss flash sale,Positiv
953,toko bayar langsung numpuk saldonya dibatalin mulu berhasil bayar,Negativ
954,setuju,Positiv
955,dm krim post nti iri,Positiv
956,pengguna shopee bl jg promo flash produk harganya tokopedia ngasih harga murah jd peminat shopee bl dibanding tokopedia bl flash sale ngasih produk harga asli produknya rb tokopedia harga produk jutaan jd murah bngt,Positiv
957,ok,Negativ
958,kirain tokopedia belajar pengalaman flash sale mei terulang mendingan kalo blum ngadain flash sale pake flash sale mohon belajar slb sukses ngadain flash sale,Negativ
959,ngejar flash sale tebar pesona dropshiper ambil barang dri seller tokpedakibatnya kerjaan terbengkalai gara order checkout error format tokped dropshiper friendly kalo ngadain flash sale sok nge boom,Positiv
960,down servernya event adain ulang deh diprotes jawabannya suruh coba bebenah,Positiv
961,numpang om top up saldo indomaret,Negativ
962,checkout bener,Positiv
963,bl duitnya bl shake,Positiv
964,bikin story gopro hero brp,Negativ
965,kl adain flash sale serius dongg,Positiv
966,maybelline dapet umpat,Positiv
967,dapet,Negativ
968,harga rbuan,Positiv
969,storyku,Positiv
970,rb gua dapet action cam sma power bank tebar pesona flash sale barangnya diskon gede jd tahan kebutuhan tertawa keras,Positiv
971,dapet juragan rb dapet amazfit bip pagi dapet earphone jbl malem rada aneh dapet helm saldo kepotong tebar pesona gagal checkout dapet selangkah selingkuh transaksi berhasil,Positiv
972,woy,Negativ
973,coba beli apapun kaga error melulu,Negativ
974,eror woy benerin,Positiv
975,wkwkw gua gua doang ngeluh kgak checkout banget yaaa serius sampe kesel pengen banting hape gua jaringan lemot taunya emang susah,Positiv
976,ngincer angin semilir stuck proses bayar,Positiv
977,pagi,Negativ
978,sptnya diuntungkan diisini pedagang tokped yaa tokocash,Negativ
979,juragan diliat bukti kakak lelaki posting ig real berita bohong,Positiv
980,sistemnya overload,Negativ
981,gapernah kebagian astagaaahhh,Negativ
982,flash sale akalan rajin mantengin jam pagi malem sampe nyalain alarm tetep zonk server stock habis coba ku kasar wkwkwkekwk,Negativ
983,teflon frame,Positiv
984,dapet apa,Positiv
985,boicot,Negativ
986,barang,Positiv
987,tokopedia,Positiv
988,nyobain vuma iseng pembayaran mo jam langsung diblng stock habis halaman flashsale masi aneh bin ajaib,Negativ
989,dapet mas barang pagi malamdasar anak,Positiv
990,beneran lihat kepala mata walaubsaya mengakui kalo sedih bete kena marah,Positiv
991,pemberi harapan palsu doang kena tipu kayak keledai,Negativ
992,lihat review orangorang pas beli hp harga flash sale,Positiv
993,koneksi indomie calon anak ayam kornet stabil bagus,Positiv
994,lom beruntung kemarin marah hikz,Positiv
995,norak kali ikutan flash salekesal wkwk,Positiv
996,bukalapak wkwkw tokped ketinggalan ulang ny pelit parah kalah diskonan bukalapak,Negativ
997,nature republic,Negativ
998,dapet namanya jg flash sale bawa santai dapet syukur dapet rejeki namanya harga gilaan wajar byk stand,Positiv
999,dapet nature republic bayar pake cc,Positiv
1000,amazing,Positiv
1001,beli miband pas mo bayar lamgsung stock habis menjengkelkan pas jam,Negativ
1002,amazing,Positiv
1003,flassalee,Negativ
1004,kecewaaaastok tpi dibayar notif stok kosongperbaiki sistemnya,Negativ
1005,pagi berhasil powerbank mili mah thank you pagi experience flash sale drpd semalam well see semoga membatalkan orderan thanks again,Positiv
1006,pembodohan umat barang sediain cuman rebutan indonesia,Negativ
1007,stock tersedia pas bayar tulisan stock habis kaya lapak sebelah sdh check out barang sdh otomatis bayar ko,Negativ
1008,sale kampret,Negativ
1009,banget giliran bayar error terusphp,Negativ
1010,boongan lgs beli tebar pesona kosong kosong bayar data error server error data not_found cape,Negativ
1011,udahhhh dongggkucing kucing,Positiv
1012,dpt maen cepetan wkt dl dpt rice cooker kl skrg brg tmn ku dpt blender drone namanya barang diserbu ribuan org cepetan faktor hoki toko sblh jg flash sale dis,Positiv
1013,klikpay bca,Positiv
1014,bayare pke ecash gimana sihaku bingung kra transfer kya order,Negativ
1015,server error trs pdhl klik secepat kilat eh pas klik checkout server error stock kosong,Negativ
1016,dapet coba ngaku,Positiv
1017,beli xiaomi mukena bali kesalahan jaringan aduuh aneh deh,Negativ
1018,hahaha error canggih servernya hahah,Negativ
1019,dpet mah error bae serverny,Negativ
1020,sabar gt jam barusan dpt pas masuk keranjang server bermasalah gt gt qty pdhl bisanya pas cekout error sekalinya paymentzonkkkstok habis ilang flashsale hahaha fakesale kali yee flashsale,Negativ
1021,flash toped bener yakesal kakak lelaki masuk keranjang ribet suru masukin alamatujungnya stok kosong,Negativ
1022,dapet hahahahaa,Positiv
1023,error lg error lg error lg malam parah drpd kemarin malam klik beli muncul keranjang belanja kosong flow screen jg lari kemana kesalahan server jam lapar lapar tembus tinggal klik bayar lgsg stok habis produk dibilang habis dihapus keranjang belanja jg muncul error main aman goblok really heres my input better do some stress test first before do another flash sale if u are wise youll take this input happy customer will be your repeat customer unhappy customer will be new customer to your competitor,Negativ
1024,bnget mbaaa kayak pake hp nyoba eh error perphpan,Negativ
1025,terimakasih tokopedia pengalaman mengecewakannya tinggal bayar tebar pesona error trs kali mengatasi error sokan bikin flashsale yatahunbersamakecewabadexperience,Negativ
1026,niat flashsale ngadain flashsale kalah lazadashopee prettt,Negativ
1027,tipu tipu detik langsung habis,Negativ
1028,pake selangkah selingkuh banking,Positiv
1029,ka bayarnya,Negativ
1030,pakai,Negativ
1031,dapet tebar pesona bayarnya pake briva,Positiv
1032,berhasil pake briva,Positiv
1033,jualan tebar pesona isi ulang tokocash coba gugling deh isi tokocash tokopedia pake,Positiv
1034,hmm bagus promo bayar langsung back pacman,Negativ
1035,bayar tiba uangnya refund penipuan gimana,Negativ
1036,isi klik bca kl jualan jd penjualan uang msk tokocash,Positiv
1037,pake kartu kredit ka,Positiv
1038,ka bayar pake ka toko caash kah,Positiv
1039,bayar pakai toko bayar langsung gimana ka penjelasan,Positiv
1040,tokopedia pengalaman mengecewakannya tinggal bayar error kali kalo ngatasin error gausah sok bikin giniantahunbersamamengecewakan,Negativ
1041,pemberi harapan palsu,Negativ
1042,dapet pagi lumayan,Positiv
1043,beneran dpt,Negativ
1044,menit min belinyakan rebutan bayarnya mah rebutan,Positiv
1045,virtual account bayarnya ambil tendili moneynya ko pembayaran menit ajah buru atmnya,Positiv
1046,zonk,Negativ
1047,jelasgitu pembayaran loading xpadahal signalnya bagusstock kosong melulupadahal br berjalan menit,Negativ
1048,transfer ambil tendili moneynya pengen dpt biar emak seneng,Positiv
1049,mayanlah kang sedia payung hujan,Positiv
1050,gimn ikiutan tolong bantu jelasin,Negativ
1051,ak beli helm berhasil bayar via klik bca nunggu proses seller mudah an dana kembalikan saldo toko bayar langsung,Positiv
1052,min server downtolong masak klik produk,Negativ
1053,terustahunbersama,Positiv
1054,berhasil beli payung harga rebu,Positiv
1055,mesti byk belajar collocation server amazon google anak bule tokped semangat,Positiv
1056,berdoa weh hoki haha,Negativ
1057,bayar lemot pas bayar duitnya tokocash,Negativ
1058,bakar,Positiv
1059,br buka aplikasi jam teng barang gag stock omong kosong,Positiv
1060,dy jg dapet hp rb sampe,Negativ
1061,semoga smpe berhasil tangan angin semilir,Positiv
1062,susah dapet lucky dibatalin,Positiv
1063,skrg sma dpt,Negativ
1064,hokian coeg flash sale bayar duit balikin haha like you belanja supermarket bayar struk print barang ambil orang,Positiv
1065,flashsale ngelanjutin kemaren yaa engga,Positiv
1066,check out tinggal bayar dapet no va tebar pesona pas proses loading lg bayar dana kembalikan check out barangnya keep cm dikasih menit bayar menit loading kiciwa banget deh,Negativ
1067,kayanya toko laen flash sale prnh brmslh flash sale brmslh aneh auto uninstal ajh cem ginimah mnding shopee lazada ajh deh,Positiv
1068,kali dapet susu enfagrow harga bayar menit lari ambil tendili moneynya,Positiv
1069,gagal tinggal bayar tetiba oops stok,Positiv
1070,iyaa virtual account,Positiv
1071,jam pagi teng kakak lelaki hitungan menit produk kosong,Negativ
1072,belum beruntung,Positiv
1073,kayaknya emang mayoritas bayar error deh,Positiv
1074,ka gigi tajam ngerasain fs tolong jelasin temen tokped fake ngadain flash sale,Positiv
1075,ng worth it wasting time ng hadilnya zonk flashsale tong kosong ng barangnya zonk bikin kecewa check out ng eror coba sehabis makan pulang barang hbs pembayaran eror coba sehabis makan pulang berkali barang habis pemberi harapan palsu flash sale zonk palsu bikin kecewa buang cari sensasi doang bikin kecewa customer goodbye deh pindah online,Negativ
1076,tokopedia pake jasa aws bos,Negativ
1077,zonk mulu,Positiv
1078,amazon menginvest tokopedianya alibaba group,Negativ
1079,blackmores vitamin ribu,Negativ
1080,keranjang belanja msh titik merah terisi barangtp dibuka kosong,Positiv
1081,ntar dijadiin iklan ngebully tokopedia pdhal tokopedia kakak lelaki bagus pas kmaren dpt bayar gagal internal server error,Negativ
1082,minjgn lupa perbaiki server pelanggan kecewa kabur,Negativ
1083,diproses penjual,Negativ
1084,gimmick,Negativ
1085,error stiap dapet,Negativ
1086,tinggal bayar pdahal tebar pesona kgk bsa server error blablabla pas cek flash sale dah ilang bijiii kgk niat ngadain flash sale kya,Positiv
1087,parahh,Positiv
1088,ngomong bos tokopedia invest server amazon web services server down pengunjung servernya diurusin dapet flash sale nyebar kebohongan kaya gini,Positiv
1089,flashsale bohongan niecuma mentok check out,Negativ
1090,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Negativ
1091,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Positiv
1092,min senin gunain voucher ilovemonday cashbacknya masuk skrg min,Negativ
1093,gmbarnya kere tulen gift yasin cantik acaramu berkesan kepoin yaa,Negativ
1094,hahahahahaha,Negativ
1095,subhanallaah sore,Negativ
1096,flashsale bikintiap bayar server down trskan aneh,Negativ
1097,min tambahin hashtagnyaflashsalephp,Positiv
1098,barang masuk keranjang pas bayar maaf stok kosong padahl berpa detik,Negativ
1099,fs ngk load pilih barang,Negativ
1100,juragan,Negativ
1101,habishuft,Negativ
1102,awesomee yaa met siang,Negativ
1103,mimin servernya benerin min please,Positiv
1104,marah,Negativ
1105,laporin ylki,Negativ
1106,barakallah tokepedia sukses,Positiv
1107,deh dm beserta transaksinya penasaran,Positiv
1108,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
1109,pembohongan,Negativ
1110,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
1111,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
1112,wkwkwk percaya flash salekamvret,Positiv
1113,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
1114,pagi dapet tas pas cek taunya dibatalin toped,Positiv
1115,barusan cek tas dibatalin topednya,Negativ
1116,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
1117,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
1118,awesomee yaa,Negativ
1119,gmbarnya kagum,Positiv
1120,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
1121,met aktivitas pagi yaah,Negativ
1122,anjir wkwkwk,Negativ
1123,q gakk dpt susah,Positiv
1124,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
1125,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
1126,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
1127,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
1128,pake kesal kesal,Positiv
1129,via transfer ambil tendili moneynya,Positiv
1130,ok,Negativ
1131,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
1132,input resi susaaaaahhhh truussss,Negativ
1133,benerinnn server dolo njerr,Positiv
1134,tahun tukang tipu mulu,Negativ
1135,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
1136,sekian comment respon akun heraann maluin,Positiv
1137,eror melanda,Negativ
1138,tokocash transfer biasakesal,Positiv
1139,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
1140,erorrrrrrr,Positiv
1141,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
1142,pindah shoppe ah enak ciuman upsciuman,Negativ
1143,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
1144,dapettahunbersama,Positiv
1145,xiaomi redmi flash sale pagi proses pengiriman,Positiv
1146,kitkat harga ribuan bayar yaaah lumayan,Positiv
1147,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
1148,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
1149,kalo niat kasih promo disiapin bener sistemnya,Positiv
1150,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
1151,ngincer blender gagal mulu langsung home cari produk nyisa dapet deh tas,Negativ
1152,lapar lngsng masukin barang krnjang pas check out gagal hahaha mending sale jelassssss,Positiv
1153,beli brg trs dibalikin dana tokocash dibatalin penjual cek riwayat transaksi pindahkan saldo tokopedia sampe hitungan menit pindah saldo tunggu hr semoga membantu,Negativ
1154,protes smua trick pintar pintar dpt dpt barusan vacum cleaner pas rb dpt flash sale tokped rame pengunjung harga fantastis tebar pesona stock disediakan banya,Negativ
1155,kemajuan min berusaha tingkatin pelayanannya min tokped,Negativ
1156,uang ku toko bayar langsung taun syaratnya dipindahkan rekening kalo pembatalan,Negativ
1157,berhasil dapet,Negativ
1158,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Positiv
1159,dapet jbl temen dapet angin semilir,Positiv
1160,flash sale jd program tokopedia hoaxbayar pake toko bayar langsung cpet,Positiv
1161,saldo tokopedia,Negativ
1162,kacau,Negativ
1163,sandisk normal rb,Positiv
1164,ny berita bohong,Negativ
1165,diam ambil tendili moneynya biar ngebut bayarnya eh jancuk aplikasi macet-macet sampe crash suwe bat dah,Negativ
1166,min flash sale bilangannya gitu mulu cape better benerin servernya kliatan siapnya sendirilah penduduk indonesia juta org kasarnya stgh penduduk indonesia akses tokopedia perhitungan brp data masuk,Negativ
1167,mudah han dapet hadiah aamiin,Negativ
1168,bener mslhnya berjuang hasil dibilang hoki msalah flashsale jdid jakmall bl shopee belanjaan flash sale pcs jaman tokopedia flashsale sklipun dapet detik kebuka jam pas barangnya habis,Negativ
1169,barang ghoibkahkesal,Positiv
1170,tinggal pembayaran tinggal ganmasih byk berhasil payment verified engga kalopun berhasil diuji autocancel autorefund ndak thats the flow cb kali amati flownya terapkan komensaya baca komen post sblmnya paham,Negativ
1171,kecewa berat,Negativ
1172,tetep goib,Negativ
1173,kecewaaaaa,Negativ
1174,malam keluarin besok pagi,Positiv
1175,super parah dibanding pagi jam gimana ni pemberi harapan palsu ajacustomer super kecewaaa,Negativ
1176,menit jam lapar menit barangnya belom klik flash salenya berakhirlahhh kocak banget tokopedia,Negativ
1177,pinterrr,Positiv
1178,kecewa semoga tokopedia berubah nama tokophp,Positiv
1179,ni ko bermasalah lihat daftar transaksi isinya kosong beli barang sore cek ko kosong,Positiv
1180,min flash sale tokopedia jam malam tanggal agustus berhasil check out memilih pembayaran bca va disitu pemberitahuan kode pembayaran diverifikasi menit kode bayarnya yaterima kasih,Negativ
1181,kek yahsudah berhasil prosestinggal bayartp limitnya menitkesal serius nanya,Negativ
1182,maaf pengunjung kecewa kunjungan tokopedia dugaan terbaik kami berusaha kualitas pelayanan,Positiv
1183,metode pembayaran pakai,Positiv
1184,lapak sebelah harga rb flash sale,Positiv
1185,dapet tas gagal berkali kali,Positiv
1186,boong kali pagi malem susah masuknya pas kebuka barang,Negativ
1187,ntaps marketplace orange kyaknya marketplace ijo deh,Negativ
1188,guaa jam mantengin hp,Positiv
1189,story bro dpt pancake untungan ikutan ratusan ribu orang tebar pesona stok barang terbatas namanya flash,Negativ
1190,kirim dm silahkan dicek,Positiv
1191,kasih bukti dpet screnshot pembyaran berhasil,Positiv
1192,dm silahkan dicek,Negativ
1193,flash sale dapet ikutan,Negativ
1194,j pro mudah an dicancel,Positiv
1195,adain kaya gini orang emosi doangnurunin rating harga tokopedia doang,Positiv
1196,percaya,Negativ
1197,bokiss flash sale,Positiv
1198,toko bayar langsung numpuk saldonya dibatalin mulu berhasil bayar,Negativ
1199,setuju,Positiv
1200,dm krim post nti iri,Positiv
1201,pengguna shopee bl jg promo flash produk harganya tokopedia ngasih harga murah jd peminat shopee bl dibanding tokopedia bl flash sale ngasih produk harga asli produknya rb tokopedia harga produk jutaan jd murah bngt,Positiv
1202,ok,Negativ
1203,kirain tokopedia belajar pengalaman flash sale mei terulang mendingan kalo blum ngadain flash sale pake flash sale mohon belajar slb sukses ngadain flash sale,Negativ
1204,ngejar flash sale tebar pesona dropshiper ambil barang dri seller tokpedakibatnya kerjaan terbengkalai gara order checkout error format tokped dropshiper friendly kalo ngadain flash sale sok nge boom,Positiv
1205,down servernya event adain ulang deh diprotes jawabannya suruh coba bebenah,Positiv
1206,numpang om top up saldo indomaret,Negativ
1207,checkout bener,Positiv
1208,bl duitnya bl shake,Positiv
1209,bikin story gopro hero brp,Negativ
1210,kl adain flash sale serius dongg,Positiv
1211,maybelline dapet umpat,Positiv
1212,dapet,Negativ
1213,harga rbuan,Positiv
1214,storyku,Positiv
1215,rb gua dapet action cam sma power bank tebar pesona flash sale barangnya diskon gede jd tahan kebutuhan tertawa keras,Positiv
1216,dapet juragan rb dapet amazfit bip pagi dapet earphone jbl malem rada aneh dapet helm saldo kepotong tebar pesona gagal checkout dapet selangkah selingkuh transaksi berhasil,Positiv
1217,woy,Negativ
1218,coba beli apapun kaga error melulu,Negativ
1219,eror woy benerin,Positiv
1220,wkwkw gua gua doang ngeluh kgak checkout banget yaaa serius sampe kesel pengen banting hape gua jaringan lemot taunya emang susah,Positiv
1221,ngincer angin semilir stuck proses bayar,Positiv
1222,pagi,Negativ
1223,sptnya diuntungkan diisini pedagang tokped yaa tokocash,Negativ
1224,juragan diliat bukti kakak lelaki posting ig real berita bohong,Positiv
1225,sistemnya overload,Negativ
